Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCF_002901205.1		Primary Assembly	1			PDCF01000172.1	Chromosome		NW_019776208.1	unlocalized-scaffold	123238		69
GCF_002901205.1		Primary Assembly	1			PDCF01000214.1	Chromosome		NW_019776209.1	unlocalized-scaffold	85413		69
GCF_002901205.1		Primary Assembly	1			PDCF01000223.1	Chromosome		NW_019776210.1	unlocalized-scaffold	79467		69
GCF_002901205.1		Primary Assembly	1			PDCF01000233.1	Chromosome		NW_019776211.1	unlocalized-scaffold	73346		69
GCF_002901205.1		Primary Assembly	1			PDCF01000311.1	Chromosome		NW_019776213.1	unlocalized-scaffold	47538		69
GCF_002901205.1		Primary Assembly	1			PDCF01000636.1	Chromosome		NW_019776215.1	unlocalized-scaffold	23654		69
GCF_002901205.1		Primary Assembly	1			PDCF01004207.1	Chromosome		NW_019776216.1	unlocalized-scaffold	4414		69
GCF_002901205.1		Primary Assembly	1			PDCF01004866.1	Chromosome		NW_019776217.1	unlocalized-scaffold	3896		69
GCF_002901205.1		Primary Assembly	1			PDCF01005224.1	Chromosome		NW_019776218.1	unlocalized-scaffold	3648		69
GCF_002901205.1		Primary Assembly	1			PDCF01005254.1	Chromosome		NW_019776219.1	unlocalized-scaffold	3625		69
GCF_002901205.1		Primary Assembly	1			PDCF01006132.1	Chromosome		NW_019776220.1	unlocalized-scaffold	3170		69
GCF_002901205.1		Primary Assembly	1			PDCF01006276.1	Chromosome		NW_019776221.1	unlocalized-scaffold	3116		69
GCF_002901205.1		Primary Assembly	1			PDCF01006853.1	Chromosome		NW_019776222.1	unlocalized-scaffold	2916		69
GCF_002901205.1		Primary Assembly	1			PDCF01007280.1	Chromosome		NW_019776224.1	unlocalized-scaffold	2792		69
GCF_002901205.1		Primary Assembly	1			PDCF01007326.1	Chromosome		NW_019776225.1	unlocalized-scaffold	2779		69
GCF_002901205.1		Primary Assembly	1			PDCF01007453.1	Chromosome		NW_019776226.1	unlocalized-scaffold	2744		69
GCF_002901205.1		Primary Assembly	1			PDCF01007758.1	Chromosome		NW_019776227.1	unlocalized-scaffold	2682		69
GCF_002901205.1		Primary Assembly	1			PDCF01008304.1	Chromosome		NW_019776228.1	unlocalized-scaffold	2575		69
GCF_002901205.1		Primary Assembly	1			PDCF01008548.1	Chromosome		NW_019776229.1	unlocalized-scaffold	2534		69
GCF_002901205.1		Primary Assembly	1			PDCF01008966.1	Chromosome		NW_019776230.1	unlocalized-scaffold	2469		69
GCF_002901205.1		Primary Assembly	1			PDCF01009011.1	Chromosome		NW_019776231.1	unlocalized-scaffold	2259		69
GCF_002901205.1		Primary Assembly	1			PDCF01009053.1	Chromosome		NW_019776232.1	unlocalized-scaffold	2458		69
GCF_002901205.1		Primary Assembly	1			PDCF01009139.1	Chromosome		NW_019776233.1	unlocalized-scaffold	2449		69
GCF_002901205.1		Primary Assembly	1			PDCF01009354.1	Chromosome		NW_019776235.1	unlocalized-scaffold	2424		69
GCF_002901205.1		Primary Assembly	1			PDCF01009393.1	Chromosome		NW_019776236.1	unlocalized-scaffold	2420		69
GCF_002901205.1		Primary Assembly	1			PDCF01009651.1	Chromosome		NW_019776237.1	unlocalized-scaffold	2396		69
GCF_002901205.1		Primary Assembly	1			PDCF01009907.1	Chromosome		NW_019776238.1	unlocalized-scaffold	2379		69
GCF_002901205.1		Primary Assembly	1			PDCF01010000.1	Chromosome		NW_019776239.1	unlocalized-scaffold	2374		69
GCF_002901205.1		Primary Assembly	1			PDCF01010005.1	Chromosome		NW_019776240.1	unlocalized-scaffold	2373		69
GCF_002901205.1		Primary Assembly	1			PDCF01010173.1	Chromosome		NW_019776241.1	unlocalized-scaffold	2364		69
GCF_002901205.1		Primary Assembly	1			PDCF01010343.1	Chromosome		NW_019776242.1	unlocalized-scaffold	2355		69
GCF_002901205.1		Primary Assembly	1			PDCF01011030.1	Chromosome		NW_019776243.1	unlocalized-scaffold	2325		69
GCF_002901205.1		Primary Assembly	1			PDCF01011476.1	Chromosome		NW_019776199.1	unlocalized-scaffold	387140		69
GCF_002901205.1		Primary Assembly	1			PDCF01011499.1	Chromosome		NW_019776244.1	unlocalized-scaffold	2308		69
GCF_002901205.1		Primary Assembly	1			PDCF01011612.1	Chromosome		NW_019776246.1	unlocalized-scaffold	2304		69
GCF_002901205.1		Primary Assembly	1			PDCF01012081.1	Chromosome		NW_019776247.1	unlocalized-scaffold	2287		69
GCF_002901205.1		Primary Assembly	1			PDCF01012412.1	Chromosome		NW_019776248.1	unlocalized-scaffold	2275		69
GCF_002901205.1		Primary Assembly	1			PDCF01012985.1	Chromosome		NW_019776249.1	unlocalized-scaffold	2251		69
GCF_002901205.1		Primary Assembly	1			PDCF01013125.1	Chromosome		NW_019776250.1	unlocalized-scaffold	2244		69
GCF_002901205.1		Primary Assembly	1			PDCF01013325.1	Chromosome		NW_019776251.1	unlocalized-scaffold	2233		69
GCF_002901205.1		Primary Assembly	1			PDCF01014612.1	Chromosome		NW_019776252.1	unlocalized-scaffold	2122		69
GCF_002901205.1		Primary Assembly	1			PDCF01014632.1	Chromosome		NW_019776253.1	unlocalized-scaffold	2120		69
GCF_002901205.1		Primary Assembly	1			PDCF01019241.1	Chromosome		NW_019776254.1	unlocalized-scaffold	1713		69
GCF_002901205.1		Primary Assembly	1			PDCF01021725.1	Chromosome		NW_019776255.1	unlocalized-scaffold	1529		69
GCF_002901205.1		Primary Assembly	2			PDCF01000002.1	Chromosome		NW_019776259.1	unlocalized-scaffold	38436422		61
GCF_002901205.1		Primary Assembly	2			PDCF01000010.1	Chromosome		NW_019776270.1	unlocalized-scaffold	26009235		61
GCF_002901205.1		Primary Assembly	2			PDCF01000013.1	Chromosome		NW_019776281.1	unlocalized-scaffold	21617949		61
GCF_002901205.1		Primary Assembly	2			PDCF01000024.1	Chromosome		NW_019776292.1	unlocalized-scaffold	16133332		61
GCF_002901205.1		Primary Assembly	2			PDCF01000025.1	Chromosome		NW_019776303.1	unlocalized-scaffold	16476413		61
GCF_002901205.1		Primary Assembly	2			PDCF01000026.1	Chromosome		NW_019776314.1	unlocalized-scaffold	14661118		61
GCF_002901205.1		Primary Assembly	2			PDCF01000037.1	Chromosome		NW_019776317.1	unlocalized-scaffold	11814096		61
GCF_002901205.1		Primary Assembly	2			PDCF01000061.1	Chromosome		NW_019776318.1	unlocalized-scaffold	5027771		61
GCF_002901205.1		Primary Assembly	2			PDCF01000064.1	Chromosome		NW_019776319.1	unlocalized-scaffold	3186597		61
GCF_002901205.1		Primary Assembly	2			PDCF01000084.1	Chromosome		NW_019776260.1	unlocalized-scaffold	2282867		61
GCF_002901205.1		Primary Assembly	2			PDCF01000103.1	Chromosome		NW_019776261.1	unlocalized-scaffold	918915		61
GCF_002901205.1		Primary Assembly	2			PDCF01000110.1	Chromosome		NW_019776263.1	unlocalized-scaffold	455769		61
GCF_002901205.1		Primary Assembly	2			PDCF01000111.1	Chromosome		NW_019776262.1	unlocalized-scaffold	815727		61
GCF_002901205.1		Primary Assembly	2			PDCF01000122.1	Chromosome		NW_019776267.1	unlocalized-scaffold	306111		61
GCF_002901205.1		Primary Assembly	2			PDCF01000129.1	Chromosome		NW_019776268.1	unlocalized-scaffold	259414		61
GCF_002901205.1		Primary Assembly	2			PDCF01000138.1	Chromosome		NW_019776269.1	unlocalized-scaffold	214658		61
GCF_002901205.1		Primary Assembly	2			PDCF01000146.1	Chromosome		NW_019776271.1	unlocalized-scaffold	183369		61
GCF_002901205.1		Primary Assembly	2			PDCF01000174.1	Chromosome		NW_019776272.1	unlocalized-scaffold	117888		61
GCF_002901205.1		Primary Assembly	2			PDCF01000178.1	Chromosome		NW_019776273.1	unlocalized-scaffold	116713		61
GCF_002901205.1		Primary Assembly	2			PDCF01000180.1	Chromosome		NW_019776274.1	unlocalized-scaffold	113228		61
GCF_002901205.1		Primary Assembly	2			PDCF01000183.1	Chromosome		NW_019776275.1	unlocalized-scaffold	110477		61
GCF_002901205.1		Primary Assembly	2			PDCF01000199.1	Chromosome		NW_019776265.1	unlocalized-scaffold	389347		61
GCF_002901205.1		Primary Assembly	2			PDCF01000218.1	Chromosome		NW_019776276.1	unlocalized-scaffold	82837		61
GCF_002901205.1		Primary Assembly	2			PDCF01000220.1	Chromosome		NW_019776277.1	unlocalized-scaffold	82084		61
GCF_002901205.1		Primary Assembly	2			PDCF01000227.1	Chromosome		NW_019776278.1	unlocalized-scaffold	78828		61
GCF_002901205.1		Primary Assembly	2			PDCF01000240.1	Chromosome		NW_019776279.1	unlocalized-scaffold	68278		61
GCF_002901205.1		Primary Assembly	2			PDCF01000243.1	Chromosome		NW_019776280.1	unlocalized-scaffold	67466		61
GCF_002901205.1		Primary Assembly	2			PDCF01000249.1	Chromosome		NW_019776282.1	unlocalized-scaffold	65877		61
GCF_002901205.1		Primary Assembly	2			PDCF01000341.1	Chromosome		NW_019776283.1	unlocalized-scaffold	42345		61
GCF_002901205.1		Primary Assembly	2			PDCF01000548.1	Chromosome		NW_019776284.1	unlocalized-scaffold	26975		61
GCF_002901205.1		Primary Assembly	2			PDCF01000915.1	Chromosome		NW_019776285.1	unlocalized-scaffold	17137		61
GCF_002901205.1		Primary Assembly	2			PDCF01001479.1	Chromosome		NW_019776264.1	unlocalized-scaffold	397610		61
GCF_002901205.1		Primary Assembly	2			PDCF01001539.1	Chromosome		NW_019776286.1	unlocalized-scaffold	11008		61
GCF_002901205.1		Primary Assembly	2			PDCF01004522.1	Chromosome		NW_019776287.1	unlocalized-scaffold	4132		61
GCF_002901205.1		Primary Assembly	2			PDCF01004801.1	Chromosome		NW_019776288.1	unlocalized-scaffold	3946		61
GCF_002901205.1		Primary Assembly	2			PDCF01004905.1	Chromosome		NW_019776289.1	unlocalized-scaffold	3871		61
GCF_002901205.1		Primary Assembly	2			PDCF01005467.1	Chromosome		NW_019776290.1	unlocalized-scaffold	3494		61
GCF_002901205.1		Primary Assembly	2			PDCF01005736.1	Chromosome		NW_019776291.1	unlocalized-scaffold	3345		61
GCF_002901205.1		Primary Assembly	2			PDCF01005827.1	Chromosome		NW_019776293.1	unlocalized-scaffold	3298		61
GCF_002901205.1		Primary Assembly	2			PDCF01006648.1	Chromosome		NW_019776266.1	unlocalized-scaffold	387842		61
GCF_002901205.1		Primary Assembly	2			PDCF01006931.1	Chromosome		NW_019776294.1	unlocalized-scaffold	2895		61
GCF_002901205.1		Primary Assembly	2			PDCF01008027.1	Chromosome		NW_019776295.1	unlocalized-scaffold	2635		61
GCF_002901205.1		Primary Assembly	2			PDCF01008589.1	Chromosome		NW_019776296.1	unlocalized-scaffold	2527		61
GCF_002901205.1		Primary Assembly	2			PDCF01008642.1	Chromosome		NW_019776297.1	unlocalized-scaffold	2519		61
GCF_002901205.1		Primary Assembly	2			PDCF01008707.1	Chromosome		NW_019776298.1	unlocalized-scaffold	2508		61
GCF_002901205.1		Primary Assembly	2			PDCF01009137.1	Chromosome		NW_019776299.1	unlocalized-scaffold	2450		61
GCF_002901205.1		Primary Assembly	2			PDCF01009258.1	Chromosome		NW_019776300.1	unlocalized-scaffold	2435		61
GCF_002901205.1		Primary Assembly	2			PDCF01009291.1	Chromosome		NW_019776301.1	unlocalized-scaffold	2431		61
GCF_002901205.1		Primary Assembly	2			PDCF01009332.1	Chromosome		NW_019776302.1	unlocalized-scaffold	2427		61
GCF_002901205.1		Primary Assembly	2			PDCF01009429.1	Chromosome		NW_019776304.1	unlocalized-scaffold	2417		61
GCF_002901205.1		Primary Assembly	2			PDCF01010095.1	Chromosome		NW_019776305.1	unlocalized-scaffold	2368		61
GCF_002901205.1		Primary Assembly	2			PDCF01010371.1	Chromosome		NW_019776306.1	unlocalized-scaffold	2353		61
GCF_002901205.1		Primary Assembly	2			PDCF01011559.1	Chromosome		NW_019776307.1	unlocalized-scaffold	2306		61
GCF_002901205.1		Primary Assembly	2			PDCF01011940.1	Chromosome		NW_019776308.1	unlocalized-scaffold	2292		61
GCF_002901205.1		Primary Assembly	2			PDCF01011986.1	Chromosome		NW_019776309.1	unlocalized-scaffold	2291		61
GCF_002901205.1		Primary Assembly	2			PDCF01012212.1	Chromosome		NW_019776310.1	unlocalized-scaffold	2283		61
GCF_002901205.1		Primary Assembly	2			PDCF01013347.1	Chromosome		NW_019776311.1	unlocalized-scaffold	2232		61
GCF_002901205.1		Primary Assembly	2			PDCF01013742.1	Chromosome		NW_019776312.1	unlocalized-scaffold	2206		61
GCF_002901205.1		Primary Assembly	2			PDCF01013877.1	Chromosome		NW_019776313.1	unlocalized-scaffold	2194		61
GCF_002901205.1		Primary Assembly	2			PDCF01014077.1	Chromosome		NW_019776315.1	unlocalized-scaffold	2178		61
GCF_002901205.1		Primary Assembly	2			PDCF01015469.1	Chromosome		NW_019776316.1	unlocalized-scaffold	2030		61
GCF_002901205.1		Primary Assembly	3			PDCF01000004.1	Chromosome		NW_019776320.1	unlocalized-scaffold	34710996		37
GCF_002901205.1		Primary Assembly	3			PDCF01000008.1	Chromosome		NW_019776331.1	unlocalized-scaffold	26480611		37
GCF_002901205.1		Primary Assembly	3			PDCF01000012.1	Chromosome		NW_019776342.1	unlocalized-scaffold	24030716		37
GCF_002901205.1		Primary Assembly	3			PDCF01000027.1	Chromosome		NW_019776351.1	unlocalized-scaffold	14566506		37
GCF_002901205.1		Primary Assembly	3			PDCF01000048.1	Chromosome		NW_019776352.1	unlocalized-scaffold	8979156		37
GCF_002901205.1		Primary Assembly	3			PDCF01000068.1	Chromosome		NW_019776353.1	unlocalized-scaffold	4428846		37
GCF_002901205.1		Primary Assembly	3			PDCF01000082.1	Chromosome		NW_019776355.1	unlocalized-scaffold	2548109		37
GCF_002901205.1		Primary Assembly	3			PDCF01000083.1	Chromosome		NW_019776354.1	unlocalized-scaffold	3849042		37
GCF_002901205.1		Primary Assembly	3			PDCF01000149.1	Chromosome		NW_019776321.1	unlocalized-scaffold	171940		37
GCF_002901205.1		Primary Assembly	3			PDCF01000161.1	Chromosome		NW_019776322.1	unlocalized-scaffold	146390		37
GCF_002901205.1		Primary Assembly	3			PDCF01000169.1	Chromosome		NW_019776323.1	unlocalized-scaffold	134208		37
GCF_002901205.1		Primary Assembly	3			PDCF01000211.1	Chromosome		NW_019776324.1	unlocalized-scaffold	87321		37
GCF_002901205.1		Primary Assembly	3			PDCF01000213.1	Chromosome		NW_019776325.1	unlocalized-scaffold	86151		37
GCF_002901205.1		Primary Assembly	3			PDCF01000221.1	Chromosome		NW_019776326.1	unlocalized-scaffold	81500		37
GCF_002901205.1		Primary Assembly	3			PDCF01000279.1	Chromosome		NW_019776327.1	unlocalized-scaffold	54656		37
GCF_002901205.1		Primary Assembly	3			PDCF01000296.1	Chromosome		NW_019776328.1	unlocalized-scaffold	51521		37
GCF_002901205.1		Primary Assembly	3			PDCF01000827.1	Chromosome		NW_019776329.1	unlocalized-scaffold	18651		37
GCF_002901205.1		Primary Assembly	3			PDCF01002872.1	Chromosome		NW_019776330.1	unlocalized-scaffold	6395		37
GCF_002901205.1		Primary Assembly	3			PDCF01004944.1	Chromosome		NW_019776356.1	unlocalized-scaffold	388595		37
GCF_002901205.1		Primary Assembly	3			PDCF01005868.1	Chromosome		NW_019776332.1	unlocalized-scaffold	3280		37
GCF_002901205.1		Primary Assembly	3			PDCF01005887.1	Chromosome		NW_019776333.1	unlocalized-scaffold	3274		37
GCF_002901205.1		Primary Assembly	3			PDCF01006308.1	Chromosome		NW_019776334.1	unlocalized-scaffold	3105		37
GCF_002901205.1		Primary Assembly	3			PDCF01006597.1	Chromosome		NW_019776335.1	unlocalized-scaffold	2995		37
GCF_002901205.1		Primary Assembly	3			PDCF01006808.1	Chromosome		NW_019776336.1	unlocalized-scaffold	2925		37
GCF_002901205.1		Primary Assembly	3			PDCF01007301.1	Chromosome		NW_019776337.1	unlocalized-scaffold	2788		37
GCF_002901205.1		Primary Assembly	3			PDCF01007382.1	Chromosome		NW_019776338.1	unlocalized-scaffold	2450		37
GCF_002901205.1		Primary Assembly	3			PDCF01007487.1	Chromosome		NW_019776339.1	unlocalized-scaffold	2738		37
GCF_002901205.1		Primary Assembly	3			PDCF01008326.1	Chromosome		NW_019776340.1	unlocalized-scaffold	2571		37
GCF_002901205.1		Primary Assembly	3			PDCF01008566.1	Chromosome		NW_019776341.1	unlocalized-scaffold	2531		37
GCF_002901205.1		Primary Assembly	3			PDCF01009073.1	Chromosome		NW_019776343.1	unlocalized-scaffold	2455		37
GCF_002901205.1		Primary Assembly	3			PDCF01009251.1	Chromosome		NW_019776344.1	unlocalized-scaffold	2435		37
GCF_002901205.1		Primary Assembly	3			PDCF01009554.1	Chromosome		NW_019776345.1	unlocalized-scaffold	2404		37
GCF_002901205.1		Primary Assembly	3			PDCF01009864.1	Chromosome		NW_019776346.1	unlocalized-scaffold	2382		37
GCF_002901205.1		Primary Assembly	3			PDCF01010650.1	Chromosome		NW_019776347.1	unlocalized-scaffold	2340		37
GCF_002901205.1		Primary Assembly	3			PDCF01011673.1	Chromosome		NW_019776348.1	unlocalized-scaffold	2302		37
GCF_002901205.1		Primary Assembly	3			PDCF01013223.1	Chromosome		NW_019776349.1	unlocalized-scaffold	2239		37
GCF_002901205.1		Primary Assembly	3			PDCF01014795.1	Chromosome		NW_019776350.1	unlocalized-scaffold	2103		37
GCF_002901205.1		Primary Assembly	4			PDCF01000001.1	Chromosome		NW_019776357.1	unlocalized-scaffold	46327719		36
GCF_002901205.1		Primary Assembly	4			PDCF01000030.1	Chromosome		NW_019776368.1	unlocalized-scaffold	12922972		36
GCF_002901205.1		Primary Assembly	4			PDCF01000044.1	Chromosome		NW_019776379.1	unlocalized-scaffold	11477551		36
GCF_002901205.1		Primary Assembly	4			PDCF01000049.1	Chromosome		NW_019776387.1	unlocalized-scaffold	7018745		36
GCF_002901205.1		Primary Assembly	4			PDCF01000060.1	Chromosome		NW_019776388.1	unlocalized-scaffold	5116942		36
GCF_002901205.1		Primary Assembly	4			PDCF01000071.1	Chromosome		NW_019776389.1	unlocalized-scaffold	3864108		36
GCF_002901205.1		Primary Assembly	4			PDCF01000080.1	Chromosome		NW_019776390.1	unlocalized-scaffold	2648592		36
GCF_002901205.1		Primary Assembly	4			PDCF01000085.1	Chromosome		NW_019776391.1	unlocalized-scaffold	2536135		36
GCF_002901205.1		Primary Assembly	4			PDCF01000090.1	Chromosome		NW_019776392.1	unlocalized-scaffold	1742988		36
GCF_002901205.1		Primary Assembly	4			PDCF01000093.1	Chromosome		NW_019776358.1	unlocalized-scaffold	1408237		36
GCF_002901205.1		Primary Assembly	4			PDCF01000095.1	Chromosome		NW_019776359.1	unlocalized-scaffold	1266590		36
GCF_002901205.1		Primary Assembly	4			PDCF01000119.1	Chromosome		NW_019776360.1	unlocalized-scaffold	356800		36
GCF_002901205.1		Primary Assembly	4			PDCF01000130.1	Chromosome		NW_019776361.1	unlocalized-scaffold	259088		36
GCF_002901205.1		Primary Assembly	4			PDCF01000143.1	Chromosome		NW_019776362.1	unlocalized-scaffold	195207		36
GCF_002901205.1		Primary Assembly	4			PDCF01000153.1	Chromosome		NW_019776363.1	unlocalized-scaffold	158065		36
GCF_002901205.1		Primary Assembly	4			PDCF01000189.1	Chromosome		NW_019776364.1	unlocalized-scaffold	101361		36
GCF_002901205.1		Primary Assembly	4			PDCF01000299.1	Chromosome		NW_019776365.1	unlocalized-scaffold	50143		36
GCF_002901205.1		Primary Assembly	4			PDCF01004100.1	Chromosome		NW_019776366.1	unlocalized-scaffold	4516		36
GCF_002901205.1		Primary Assembly	4			PDCF01005389.1	Chromosome		NW_019776367.1	unlocalized-scaffold	3537		36
GCF_002901205.1		Primary Assembly	4			PDCF01005909.1	Chromosome		NW_019776369.1	unlocalized-scaffold	3263		36
GCF_002901205.1		Primary Assembly	4			PDCF01006378.1	Chromosome		NW_019776370.1	unlocalized-scaffold	3076		36
GCF_002901205.1		Primary Assembly	4			PDCF01008288.1	Chromosome		NW_019776371.1	unlocalized-scaffold	2578		36
GCF_002901205.1		Primary Assembly	4			PDCF01008593.1	Chromosome		NW_019776372.1	unlocalized-scaffold	2527		36
GCF_002901205.1		Primary Assembly	4			PDCF01008623.1	Chromosome		NW_019776373.1	unlocalized-scaffold	2522		36
GCF_002901205.1		Primary Assembly	4			PDCF01009413.1	Chromosome		NW_019776374.1	unlocalized-scaffold	2418		36
GCF_002901205.1		Primary Assembly	4			PDCF01009971.1	Chromosome		NW_019776375.1	unlocalized-scaffold	2375		36
GCF_002901205.1		Primary Assembly	4			PDCF01010103.1	Chromosome		NW_019776376.1	unlocalized-scaffold	2368		36
GCF_002901205.1		Primary Assembly	4			PDCF01010305.1	Chromosome		NW_019776377.1	unlocalized-scaffold	2357		36
GCF_002901205.1		Primary Assembly	4			PDCF01010735.1	Chromosome		NW_019776378.1	unlocalized-scaffold	2336		36
GCF_002901205.1		Primary Assembly	4			PDCF01010935.1	Chromosome		NW_019776380.1	unlocalized-scaffold	2328		36
GCF_002901205.1		Primary Assembly	4			PDCF01011676.1	Chromosome		NW_019776381.1	unlocalized-scaffold	2302		36
GCF_002901205.1		Primary Assembly	4			PDCF01012091.1	Chromosome		NW_019776382.1	unlocalized-scaffold	2287		36
GCF_002901205.1		Primary Assembly	4			PDCF01012633.1	Chromosome		NW_019776383.1	unlocalized-scaffold	2266		36
GCF_002901205.1		Primary Assembly	4			PDCF01013554.1	Chromosome		NW_019776384.1	unlocalized-scaffold	2219		36
GCF_002901205.1		Primary Assembly	4			PDCF01014640.1	Chromosome		NW_019776385.1	unlocalized-scaffold	2119		36
GCF_002901205.1		Primary Assembly	4			PDCF01014776.1	Chromosome		NW_019776386.1	unlocalized-scaffold	2105		36
GCF_002901205.1		Primary Assembly	5			PDCF01000009.1	Chromosome		NW_019776393.1	unlocalized-scaffold	27391799		27
GCF_002901205.1		Primary Assembly	5			PDCF01000020.1	Chromosome		NW_019776404.1	unlocalized-scaffold	17382997		27
GCF_002901205.1		Primary Assembly	5			PDCF01000042.1	Chromosome		NW_019776413.1	unlocalized-scaffold	11037753		27
GCF_002901205.1		Primary Assembly	5			PDCF01000054.1	Chromosome		NW_019776414.1	unlocalized-scaffold	6501946		27
GCF_002901205.1		Primary Assembly	5			PDCF01000086.1	Chromosome		NW_019776415.1	unlocalized-scaffold	1873514		27
GCF_002901205.1		Primary Assembly	5			PDCF01000100.1	Chromosome		NW_019776416.1	unlocalized-scaffold	1067957		27
GCF_002901205.1		Primary Assembly	5			PDCF01000106.1	Chromosome		NW_019776417.1	unlocalized-scaffold	668105		27
GCF_002901205.1		Primary Assembly	5			PDCF01000195.1	Chromosome		NW_019776418.1	unlocalized-scaffold	95683		27
GCF_002901205.1		Primary Assembly	5			PDCF01000319.1	Chromosome		NW_019776419.1	unlocalized-scaffold	46008		27
GCF_002901205.1		Primary Assembly	5			PDCF01000329.1	Chromosome		NW_019776394.1	unlocalized-scaffold	45072		27
GCF_002901205.1		Primary Assembly	5			PDCF01000380.1	Chromosome		NW_019776395.1	unlocalized-scaffold	37736		27
GCF_002901205.1		Primary Assembly	5			PDCF01000516.1	Chromosome		NW_019776396.1	unlocalized-scaffold	28252		27
GCF_002901205.1		Primary Assembly	5			PDCF01001198.1	Chromosome		NW_019776397.1	unlocalized-scaffold	13635		27
GCF_002901205.1		Primary Assembly	5			PDCF01001532.1	Chromosome		NW_019776398.1	unlocalized-scaffold	11056		27
GCF_002901205.1		Primary Assembly	5			PDCF01004714.1	Chromosome		NW_019776399.1	unlocalized-scaffold	4004		27
GCF_002901205.1		Primary Assembly	5			PDCF01005373.1	Chromosome		NW_019776400.1	unlocalized-scaffold	3069		27
GCF_002901205.1		Primary Assembly	5			PDCF01006383.1	Chromosome		NW_019776401.1	unlocalized-scaffold	3074		27
GCF_002901205.1		Primary Assembly	5			PDCF01008294.1	Chromosome		NW_019776402.1	unlocalized-scaffold	2577		27
GCF_002901205.1		Primary Assembly	5			PDCF01009871.1	Chromosome		NW_019776403.1	unlocalized-scaffold	2381		27
GCF_002901205.1		Primary Assembly	5			PDCF01010139.1	Chromosome		NW_019776405.1	unlocalized-scaffold	2366		27
GCF_002901205.1		Primary Assembly	5			PDCF01010493.1	Chromosome		NW_019776406.1	unlocalized-scaffold	2347		27
GCF_002901205.1		Primary Assembly	5			PDCF01010851.1	Chromosome		NW_019776407.1	unlocalized-scaffold	2331		27
